environment_biome	environment_biome_hl	environment_biome_hl2
chicken gut biome	terrestrial	land
rocks	unclassified	unclassified
anotomical entity	unclassified	unclassified
reservoir	terrestrial	freshwater
Pinus tecunumaii Tree Plantation	terrestrial	unclassified
marine hydrothermal sediment	marine	unclassified
North Atlantic Eddy	unclassified	unclassified
Vegetated (green) Roof	unclassified	unclassified
earthworm cast	terrestrial	land
cultured field	unclassified	unclassified
peanut field	terrestrial	land
human urinary microbiome	terrestrial_probable	land
pot	unclassified	unclassified
coastal sage scrub	marine_and_terrestrial	unclassified
botanical garden	unclassified	unclassified
pine chaparral	unclassified	unclassified
Chicken Farm	terrestrial	unclassified
Aquaculture system	unclassified	unclassified
cultured cell line	unclassified	unclassified
apiary	unclassified	unclassified
Industrial wastewater treatment plant	terrestrial_probable	other_terrestrial_water
Alpine	unclassified	unclassified
mouse microbiome	terrestrial_probable	land
neritic pelagic zone	unclassified	unclassified
subboreal spruce forest	terrestrial	land
Environmental zone	unclassified	unclassified
ocean_biome	marine	unclassified
indoor kitchen	terrestrial	land
Bullfrog gut microbiome used for inoculation (G38) replicate 1	unclassified	unclassified
Bullfrog gut microbiome used for inoculation (G38) replicate 2	unclassified	unclassified
Bullfrog gut microbiome used for inoculation (G38) replicate 3	unclassified	unclassified
Green frog control gut microbiome (G27) replicate 1	unclassified	unclassified
Green frog control gut microbiome (G27) replicate 2	unclassified	unclassified
Green frog control gut microbiome (G27) replicate 3	unclassified	unclassified
Green frog control gut microbiome (G27) replicate 4	unclassified	unclassified
Green frog gut microbiome inoculation from green frog egg jelly (G27) replicate 1	unclassified	unclassified
Green frog gut microbiome inoculation from green frog egg jelly (G27) replicate 2	unclassified	unclassified
Green frog gut microbiome inoculation from green frog egg jelly (G27) replicate 3	unclassified	unclassified
Green frog with wood frog gut microbiome (G27) replicate 1	terrestrial	land
Green frog with wood frog gut microbiome (G27) replicate 2	terrestrial	land
Green frog with wood frog gut microbiome (G27) replicate 3	terrestrial	land
Green frog with wood frog gut microbiome (G27) replicate 4	terrestrial	land
Wood frog control gut microbiome (G26) replicate 1	terrestrial	unclassified
Wood frog control gut microbiome (G26) replicate 2	terrestrial	unclassified
Wood frog control gut microbiome (G27) replicate 1	terrestrial	unclassified
Wood frog control gut microbiome (G27) replicate 2	terrestrial	unclassified
Wood frog control gut microbiome (G27) replicate 3	terrestrial	unclassified
Wood frog control gut microbiome (G35) replicate 1	terrestrial	unclassified
Wood frog control gut microbiome (G35) replicate 2	terrestrial	unclassified
Wood frog control gut microbiome (G35) replicate 3	terrestrial	unclassified
Wood frog gut microbiome (adult) replicate 1	terrestrial	unclassified
Wood frog gut microbiome (adult) replicate 2	terrestrial	unclassified
Wood frog gut microbiome (adult) replicate 3	terrestrial	unclassified
Wood frog gut microbiome (G27) replicate 1	terrestrial	unclassified
Wood frog gut microbiome (G27) replicate 2	terrestrial	unclassified
Wood frog gut microbiome (G27) replicate 3	terrestrial	unclassified
Wood frog gut microbiome (G27) replicate 4	terrestrial	unclassified
Wood frog gut microbiome (G27) replicate 5	terrestrial	unclassified
Wood frog gut microbiome (G38) replicate 1	terrestrial	unclassified
Wood frog gut microbiome (G38) replicate 2	terrestrial	unclassified
Wood frog gut microbiome (G38) replicate 3	terrestrial	unclassified
Wood frog gut microbiome (G38) replicate 4	terrestrial	unclassified
Wood frog gut microbiome (G38) replicate 5	terrestrial	unclassified
Wood frog gut microbiome (G43) replicate 1	terrestrial	unclassified
Wood frog gut microbiome (G43) replicate 2	terrestrial	unclassified
Wood frog gut microbiome (G43) replicate 3	terrestrial	unclassified
Wood frog gut microbiome (G43) replicate 4	terrestrial	unclassified
Wood frog gut microbiome (G45) replicate 1	terrestrial	unclassified
Wood frog gut microbiome (G45) replicate 2	terrestrial	unclassified
Wood frog gut microbiome (G45) replicate 3	terrestrial	unclassified
Wood frog gut microbiome (G45) replicate 4	terrestrial	unclassified
Wood frog with bullfrog gut microbiome (G26) replicate 1	terrestrial	unclassified
Wood frog with bullfrog gut microbiome (G26) replicate 2	terrestrial	unclassified
Wood frog with bullfrog gut microbiome (G27) replicate 1	terrestrial	unclassified
Wood frog with bullfrog gut microbiome (G27) replicate 2	terrestrial	unclassified
Wood frog with bullfrog gut microbiome (G27) replicate 3	terrestrial	unclassified
Wood frog with bullfrog gut microbiome (G35) replicate 1	terrestrial	unclassified
Wood frog with bullfrog gut microbiome (G35) replicate 2	terrestrial	unclassified
Wood frog with bullfrog gut microbiome (G35) replicate 3	terrestrial	unclassified
Water body (ENVO:00000063)	unclassified	other_terrestrial_water
bioflim	unclassified	unclassified
Ocean Biome	marine	unclassified
PCB contaminated soil	terrestrial_probable	land
ENVO	unclassified	unclassified
lake riffle	terrestrial	freshwater
aquaculture biome	unclassified	unclassified
human root canal	terrestrial_probable	land
tropical savannah	terrestrial	land
host microbiome	unclassified	unclassified
WWTPs	unclassified	unclassified
anaerobic sediment	unclassified	unclassified
single cell-small cyanobacterial colonies	unclassified	unclassified
large cyanobacterial colonies	unclassified	unclassified
caecum-AH+L+ cohortA	unclassified	unclassified
caecum-AH+L- cohortB	unclassified	unclassified
caecum-AH-L+	unclassified	unclassified
feces-AH+L+	unclassified	unclassified
feces-AH+L-	unclassified	unclassified
feces-AH-L+	unclassified	unclassified
Large intestine-AH+L+	unclassified	unclassified
Large intestine-AH+L-	unclassified	unclassified
Large intestine-AH-L+	unclassified	unclassified
feces-AH+L+ cohort A	unclassified	unclassified
feces-AH+L- cohort B	unclassified	unclassified
feces-AH-L+ cohort C	unclassified	unclassified
feces-AH+L-cohort B	unclassified	unclassified
feces--AH+L+ cohort A	unclassified	unclassified
feces--AH-L+ cohort C	unclassified	unclassified
feces-AH-L+cohort C	unclassified	unclassified
Small intestine-AH+L+	unclassified	unclassified
Small intestine-AH+L+ cohortA	unclassified	unclassified
Small intestine-AH+L-	unclassified	unclassified
Small intestine-AH-L+	unclassified	unclassified
mesocosm system	unclassified	unclassified
Meat	unclassified	unclassified
soil with no matsutake growing in	terrestrial_probable	land
soil of matsutake fairy ring	terrestrial	land
artificial infrastructure	unclassified	unclassified
Forehead Skin	unclassified	unclassified
Left Forearm Skin	unclassified	unclassified
Left Palm Skin	unclassified	unclassified
Right Forearm Skin	unclassified	unclassified
Right Palm Skin	unclassified	unclassified
ENVO_00000467	unclassified	unclassified
16s amplicon survey	unclassified	unclassified
sea grass bed	marine	unclassified
mesocosm	unclassified	unclassified
Lasithi Plateau agricultural soil	terrestrial	land
as cercaria exposed to Euphorbia milii latex	unclassified	unclassified
Built Environment	terrestrial_probable	unclassified
avian biome	unclassified	unclassified
Soil bacteria and archaea	terrestrial_probable	unclassified
solar saltern crystallizer	unclassified	unclassified
Marine benthos	marine	unclassified
Unknown :Obtained from a farmer&apos;&apos;s market	unclassified	unclassified
South-France agricultural soil	terrestrial	land
S_A1	unclassified	unclassified
S_A2	unclassified	unclassified
S_A3	unclassified	unclassified
S_A4	unclassified	unclassified
S_B1	unclassified	unclassified
S_B2	unclassified	unclassified
S_B3	unclassified	unclassified
S_B4	unclassified	unclassified
S_C1	unclassified	unclassified
S_C2	unclassified	unclassified
S_C3	unclassified	unclassified
S_C4	unclassified	unclassified
S_D1	unclassified	unclassified
S_D2	unclassified	unclassified
S_D3	unclassified	unclassified
S_D4	unclassified	unclassified
S_E1	unclassified	unclassified
S_E2	unclassified	unclassified
S_E3	unclassified	unclassified
S_E4	unclassified	unclassified
S_F1	unclassified	unclassified
S_F2	unclassified	unclassified
S_F3	unclassified	unclassified
S_F4	unclassified	unclassified
Environmental Sediment	unclassified	unclassified
waste material	unclassified	unclassified
healthy human host	terrestrial_probable	land
swab_control_1	unclassified	unclassified
swab_control_2	unclassified	unclassified
swab_control_3	unclassified	unclassified
swab_control_4	unclassified	unclassified
subtropical?monsoon	unclassified	unclassified
factory	unclassified	unclassified
Microcosms of estuarine sediment	marine_and_terrestrial	unclassified
Saltpan	unclassified	unclassified
industraial waste	unclassified	unclassified
marsh	terrestrial	land
DNA extraction microbiota	unclassified	unclassified
canine intestinal microbiota	unclassified	unclassified
fungal hypha	unclassified	unclassified
pine grove	unclassified	unclassified
river valley	terrestrial	freshwater
Wheat fields	terrestrial	unclassified
intertidal mud	marine_and_terrestrial	unclassified
wet cliff seepage	unclassified	unclassified
food processing building(ENVO:00003863)	unclassified	unclassified
swampy pool	unclassified	other_terrestrial_water
among floating vegetation and roots at the edge of the Blackwood River	terrestrial	land
geothermal feature	unclassified	unclassified
rest pool in an almost dry sedge swamp south of Brown Lake	terrestrial	freshwater
Shallow creek, about 4-5 m wide, rocky bed, water temperature 8 degrees C	unclassified	other_terrestrial_water
not avaliable	unclassified	unclassified
permanent pond	terrestrial	freshwater
Estuarine biome	marine_and_terrestrial	unclassified
slugde	unclassified	unclassified
digestive system	unclassified	unclassified
substrate of Ganoderma lucidum	unclassified	unclassified
genitourinary system	unclassified	unclassified
marine oxygen minimum zone	marine	unclassified
farnland	terrestrial_probable	land
Oil Field	unclassified	unclassified
forest_soil	terrestrial	land
grassland_soil	terrestrial	land
agriculture_soil	terrestrial	land
cyathea_leaf_1	unclassified	unclassified
cyathea_leaf_2	unclassified	unclassified
cyathea_leaf_3	unclassified	unclassified
cyathea_leaf_4	unclassified	unclassified
cyathea_leaf_5	unclassified	unclassified
cyathea_leaf_6	unclassified	unclassified
cyathea_leaf_7	unclassified	unclassified
cyathea_leaf_8	unclassified	unclassified
cyathea_leaf_9	unclassified	unclassified
cyathea_leaf_10	unclassified	unclassified
cyathea_leaf_11	unclassified	unclassified
cyathea_leaf_12	unclassified	unclassified
cyathea_leaf_13	unclassified	unclassified
osmunda_leaf_1	unclassified	unclassified
osmunda_leaf_2	unclassified	unclassified
osmunda_leaf_3	unclassified	unclassified
osmunda_leaf_4	unclassified	unclassified
osmunda_leaf_5	unclassified	unclassified
osmunda_leaf_6	unclassified	unclassified
osmunda_leaf_7	unclassified	unclassified
osmunda_leaf_8	unclassified	unclassified
osmunda_leaf_9	unclassified	unclassified
osmunda_leaf_10	unclassified	unclassified
osmunda_leaf_11	unclassified	unclassified
osmunda_leaf_12	unclassified	unclassified
osmunda_leaf_13	unclassified	unclassified
dryoperis_leaf_1	unclassified	unclassified
dryoperis_leaf_2	unclassified	unclassified
dryoperis_leaf_3	unclassified	unclassified
dryoperis_leaf_4	unclassified	unclassified
dryoperis_leaf_5	unclassified	unclassified
dryoperis_leaf_6	unclassified	unclassified
dryoperis_leaf_7	unclassified	unclassified
grass location soil	terrestrial_probable	land
brine water	marine_and_terrestrial	other_terrestrial_water
Somone_estuary	marine_and_terrestrial	unclassified
fresh water pond	terrestrial	freshwater
215m	unclassified	unclassified
rice-wheat rotation	terrestrial	land
animal-associated_habitat(ENVO:00006776)	unclassified	unclassified
human dwelling ENVO:01000744	terrestrial_probable	land
animal cage ENVO:01000922	unclassified	unclassified
Island	terrestrial	unclassified
Permanent grassland	terrestrial	land
archaeological site	unclassified	unclassified
saline zone	unclassified	unclassified
subdivision of digestive tract UBERON_0004921	unclassified	unclassified
paddyfield	terrestrial	land
Enrichment culture with sediment from deep-sea active mud volcano	marine	unclassified
Enrichment culture with sediment from deep-sea inactive mud volcano	marine	unclassified
constructed wetland reactor	terrestrial	land
greenhouse soil	terrestrial	land
Watershed	unclassified	other_terrestrial_water
XJ-1-1	unclassified	unclassified
bird cloaca	unclassified	unclassified
soil crust	terrestrial_probable	land
large lake pelagial, under ice	terrestrial	freshwater
slugdge	unclassified	unclassified
Silage	terrestrial	unclassified
hydrothermal	unclassified	unclassified
Mountain glacier	unclassified	unclassified
Lake Baikal pelagial, station CB2	terrestrial	freshwater
Lake Baikal pelagial, station CB3	terrestrial	freshwater
Lake Baikal pelagial, station SB3S	terrestrial	freshwater
Lake Baikal pelagial, station MM1	terrestrial	freshwater
Lake Baikal pelagial, station MM2	terrestrial	freshwater
Lake Baikal pelagial, station NB1	terrestrial	freshwater
Lake Baikal pelagial, station NB2	terrestrial	freshwater
Lake Baikal pelagial, station NB4	terrestrial	freshwater
Lake Baikal pelagial, station SB2	terrestrial	freshwater
Lake Baikal pelagial, station SB3D	terrestrial	freshwater
Thermophilic Anaerobic Digester	terrestrial_probable	unclassified
20g Switchgrass	terrestrial_probable	land
Two-stage AD	unclassified	unclassified
Goat Farm	unclassified	unclassified
mouse lung	terrestrial_probable	land
temperate broadleaf evergreen forest	terrestrial	land
Helminth parasite from the rumen of ruminants	terrestrial	land
ENVO:03000085	unclassified	unclassified
ENVO:00001999	unclassified	unclassified
oceanic bathypelagic zone biome	marine	unclassified
Mammal	unclassified	unclassified
active sludge with diameter &gt;2.5	unclassified	unclassified
active sludge with diameter &gt;1.5	unclassified	unclassified
active sludge with diameter &gt;0.5	unclassified	unclassified
active sludge with diameter &lt;0.5	unclassified	unclassified
mouse lung microbiome	terrestrial_probable	land
shrub	terrestrial	land
mixed plantation	terrestrial	land
pure plantation	terrestrial	land
Fecal, rectum	unclassified	unclassified
leaf litter from	unclassified	unclassified
residential air	unclassified	unclassified
active sludge with diameter &gt;2.0	unclassified	unclassified
active sludge with diameter 1.5~2.0	unclassified	unclassified
active sludge with diameter 1.0~1.5	unclassified	unclassified
active sludge with diameter 0.5~1.0	unclassified	unclassified
Sandy soil	terrestrial_probable	land
?plains	terrestrial	land
Northwest Europe	unclassified	unclassified
tropical montane forest	terrestrial	land
kimchi (food)	unclassified	unclassified
anaerobic bioreactor_CSTR	terrestrial_probable	land
anaerobic bioreactor_SBR	terrestrial_probable	land
anaerobic bioreactor_R1	terrestrial_probable	land
anaerobic bioreactor_R2	terrestrial_probable	land
anaerobic bioreactor_R3	terrestrial_probable	land
anaerobic bioreactor_TOP	terrestrial_probable	land
anaerobic bioreactor_MID	terrestrial_probable	land
anaerobic bioreactor_BOT	terrestrial_probable	land
anaerobic bioreactor_EFF	terrestrial_probable	land
anaerobic bioreactor_EB	terrestrial_probable	land
anaerobic bioreactor_FLUFF	terrestrial_probable	land
anaerobic bioreactor_GRANU	terrestrial_probable	land
anaerobic bioreactor_BW	terrestrial_probable	land
anaerobic bioreactor_IS3	terrestrial_probable	land
anaerobic bioreactor_IS1	terrestrial_probable	land
anaerobic bioreactor_IS05	terrestrial_probable	land
glaicer	unclassified	unclassified
headwater ecosystem	unclassified	other_terrestrial_water
marine sponge reef biome	marine	unclassified
Laboratory establishment	terrestrial_probable	unclassified
experiment	unclassified	unclassified
rice rhizosphere	terrestrial	land
Miombo woodland	terrestrial	land
ocean biom	marine	unclassified
rumen microorganism	terrestrial	land
human penile skin	terrestrial_probable	land
human urine	terrestrial_probable	land
soda lake	terrestrial	freshwater
subtidal	marine	unclassified
Dairy Cow	terrestrial	unclassified
litoral	unclassified	unclassified
coal	unclassified	unclassified
prairie mammalia-associated habitat	unclassified	unclassified
microbialite	unclassified	unclassified
phyllosphere metagenome	unclassified	unclassified
jejunum content	unclassified	unclassified
ileum content	unclassified	unclassified
human_microbiome	terrestrial_probable	land
environmental system determined by an organism	terrestrial_probable	land
Boreal plains	terrestrial	land
deep biosphere	unclassified	unclassified
seagrass	marine	unclassified
mouse fecal pellet	terrestrial_probable	land
Sorghum rhizosphere	terrestrial_probable	unclassified
Parthenium rhizosphere	terrestrial_probable	unclassified
coral mucus	marine	unclassified
Desert grassland	terrestrial	land
ENVO：01000687	unclassified	unclassified
Duodenum1	unclassified	unclassified
Duodenum2	unclassified	unclassified
Duodenum3	unclassified	unclassified
Duodenum4	unclassified	unclassified
Duodenum5	unclassified	unclassified
Duodenum6	unclassified	unclassified
Duodenum7	unclassified	unclassified
Duodenum8	unclassified	unclassified
Duodenum9	unclassified	unclassified
Duodenum10	unclassified	unclassified
Duodenum11	unclassified	unclassified
Duodenum12	unclassified	unclassified
Duodenum13	unclassified	unclassified
Duodenum14	unclassified	unclassified
Duodenum15	unclassified	unclassified
Duodenum16	unclassified	unclassified
Duodenum17	unclassified	unclassified
Duodenum18	unclassified	unclassified
Duodenum19	unclassified	unclassified
Duodenum20	unclassified	unclassified
Duodenum21	unclassified	unclassified
Duodenum22	unclassified	unclassified
Duodenum23	unclassified	unclassified
Duodenum24	unclassified	unclassified
Duodenum25	unclassified	unclassified
Duodenum26	unclassified	unclassified
Duodenum27	unclassified	unclassified
Duodenum28	unclassified	unclassified
Duodenum29	unclassified	unclassified
Duodenum30	unclassified	unclassified
Duodenum31	unclassified	unclassified
Duodenum32	unclassified	unclassified
Duodenum33	unclassified	unclassified
Duodenum34	unclassified	unclassified
Duodenum35	unclassified	unclassified
Duodenum36	unclassified	unclassified
Duodenum37	unclassified	unclassified
Duodenum38	unclassified	unclassified
Duodenum39	unclassified	unclassified
Duodenum40	unclassified	unclassified
Duodenum41	unclassified	unclassified
Duodenum42	unclassified	unclassified
Duodenum43	unclassified	unclassified
Duodenum44	unclassified	unclassified
Duodenum45	unclassified	unclassified
Duodenum46	unclassified	unclassified
Duodenum47	unclassified	unclassified
Duodenum48	unclassified	unclassified
Duodenum49	unclassified	unclassified
Duodenum50	unclassified	unclassified
Duodenum51	unclassified	unclassified
Duodenum52	unclassified	unclassified
Duodenum53	unclassified	unclassified
Duodenum54	unclassified	unclassified
Feces1	unclassified	unclassified
Feces2	unclassified	unclassified
Feces3	unclassified	unclassified
Feces4	unclassified	unclassified
Feces5	unclassified	unclassified
Feces6	unclassified	unclassified
Feces7	unclassified	unclassified
Feces8	unclassified	unclassified
Feces9	unclassified	unclassified
Feces10	unclassified	unclassified
Feces11	unclassified	unclassified
Feces12	unclassified	unclassified
Feces13	unclassified	unclassified
Feces14	unclassified	unclassified
Feces15	unclassified	unclassified
Feces16	unclassified	unclassified
Feces17	unclassified	unclassified
Feces18	unclassified	unclassified
Feces19	unclassified	unclassified
Feces20	unclassified	unclassified
Feces21	unclassified	unclassified
Feces22	unclassified	unclassified
Feces23	unclassified	unclassified
Feces24	unclassified	unclassified
Feces25	unclassified	unclassified
Feces26	unclassified	unclassified
Uncultivated land	terrestrial	land
anaerobic digester CD9T	terrestrial_probable	land
anaerobic digester CD10	terrestrial_probable	land
anaerobic digester SS5	terrestrial_probable	land
anaerobic digester CD11ap	terrestrial_probable	land
anaerobic digester CD11bp	terrestrial_probable	land
anaerobic digester SS4ap	terrestrial_probable	land
anaerobic digester CD1	terrestrial_probable	land
anaerobic digester SS3a	terrestrial_probable	land
anaerobic digester SS3b	terrestrial_probable	land
anaerobic digester SS1as	terrestrial_probable	land
anaerobic digester SS1bs	terrestrial_probable	land
anaerobic digester CD7a	terrestrial_probable	land
anaerobic digester CD7b	terrestrial_probable	land
anaerobic digester CD6ap	terrestrial_probable	land
anaerobic digester CD6bp	terrestrial_probable	land
anaerobic digester CD8Tap	terrestrial_probable	land
anaerobic digester SS2T	terrestrial_probable	land
anaerobic digester CD3T	terrestrial_probable	land
anaerobic digester CD2T	terrestrial_probable	land
anaerobic digester CD4ap	terrestrial_probable	land
anatomical entity	unclassified	unclassified
human_crc_tumour	terrestrial_probable	land
sage scrub	unclassified	unclassified
human tonsil	terrestrial_probable	land
Feces27	unclassified	unclassified
Feces28	unclassified	unclassified
Feces29	unclassified	unclassified
Feces30	unclassified	unclassified
Feces31	unclassified	unclassified
Feces32	unclassified	unclassified
Cropland biome	terrestrial	unclassified
feacl	unclassified	unclassified
InfectedStool1	unclassified	unclassified
ControlStool1	unclassified	unclassified
ControlStool2	unclassified	unclassified
ControlStool3	unclassified	unclassified
InfectedStool2	unclassified	unclassified
InfectedStool3	unclassified	unclassified
InfectedStool4	unclassified	unclassified
InfectedStool5	unclassified	unclassified
InfectedStool6	unclassified	unclassified
InfectedStool7	unclassified	unclassified
InfectedStool8	unclassified	unclassified
ControlStool4	unclassified	unclassified
ControlStool5	unclassified	unclassified
ControlStool6	unclassified	unclassified
ControlStool7	unclassified	unclassified
ControlStool8	unclassified	unclassified
ControlStool9	unclassified	unclassified
ControlStool10	unclassified	unclassified
Brazilian Cerrado	unclassified	unclassified
Coral reef (ENVO - 00000150)	marine	unclassified
Groundwater biome [ENVO:00000873]	terrestrial	freshwater
Biofilm biome [ENVO:00000873]	unclassified	unclassified
saline evaporation pond	terrestrial	other_terrestrial_water
potato field	unclassified	unclassified
plant-associated environment	unclassified	unclassified
fish-associated habitat	unclassified	unclassified
City (Cairns)	terrestrial	unclassified
tobacco field	terrestrial	land
human house	terrestrial_probable	land
Pinus maximinoi Tree Plantation	terrestrial	unclassified
grasshopper gut	terrestrial_probable	land
argriculture field	unclassified	unclassified
argricultural field	unclassified	unclassified
island arc [ENVO:00000353], humid subtropical [ENVO:01000377], caldera [ENVO:00000096]	terrestrial	land
island arc [ENVO:00000353], humid subtropical [ENVO:01000377], intertidal zone [ENVO:00000316]	marine_and_terrestrial	unclassified
Captivity	unclassified	unclassified
secondary forest-farm mosaic	terrestrial	land
saliva-secreting gland	terrestrial_probable	land
Insect whole body	unclassified	unclassified
mountain brush biome	unclassified	unclassified
sagebrush steppe biome	terrestrial	land
salt desert shrubland biome	terrestrial	land
mountain meadow biome	terrestrial	land
ponderosa pine biome	terrestrial	other_terrestrial_water
pinyon juniper woodland biome	terrestrial	land
Drummer silty clay loam	unclassified	unclassified
poricne gut	unclassified	unclassified
transportation	unclassified	unclassified
Human vagina	terrestrial_probable	unclassified
ENVO:00002011	unclassified	unclassified
IMX728 that has undergone laboratory evolution on mixture of arabinose, glucose and xylose under anaerobic conditions	terrestrial_probable	land
Fecal environment	unclassified	unclassified
soybean agricultural field	terrestrial	land
aquatic indoor system	unclassified	unclassified
Rice land	terrestrial	unclassified
Ancient Chinese Papermaking Village	terrestrial	unclassified
intertidal coastal area	marine_and_terrestrial	unclassified
river mouth	terrestrial	freshwater
xeric shrubland biome	terrestrial	land
Hot Spring Environmental	terrestrial	unclassified
marine subtidal zone	marine	unclassified
hypersaline ecosystem	unclassified	unclassified
vermicompost from scotch broom	terrestrial	land
Freshwater marsh	terrestrial	freshwater
Animal host	unclassified	unclassified
Anthropogenic terrestrial	terrestrial	land
lawn	unclassified	unclassified
potting	unclassified	unclassified
tropical lowland evergreen broadleaf rain forest	terrestrial	land
Halophilic bacteria and archaea	unclassified	unclassified
Marine Water Body	marine	other_terrestrial_water
small river	terrestrial	freshwater
Halophilic Eukaryotic Microorganisms	unclassified	unclassified
Plant Leafs	unclassified	unclassified
greenhouse population	terrestrial	land
zooplankton and phytoplankton	marine	unclassified
sub-terrestrial biome	terrestrial	land
benthonic?animal	unclassified	unclassified
biomineral	terrestrial_probable	land
Mesophilic anaerobic digester	terrestrial_probable	land
Thermophilic anaerobic digester	terrestrial_probable	land
environment associated with an animal part or small animal	unclassified	unclassified
desert grassland/shrubland	terrestrial	land
1st sampling, Punggol reservoir v13	terrestrial	freshwater
2nd sampling, Punggol reservoir v13	terrestrial	freshwater
3rd sampling, Punggol reservoir v13	terrestrial	freshwater
4th sampling, Punggol reservoir v13	terrestrial	freshwater
5th sampling, Punggol reservoir v13	terrestrial	freshwater
6th sampling, Punggol reservoir v13	terrestrial	freshwater
7th sampling, Punggol reservoir v13	terrestrial	freshwater
8th sampling, Punggol reservoir v13	terrestrial	freshwater
1st sampling, Punggol reservoir v45	terrestrial	freshwater
2nd sampling, Punggol reservoir v45	terrestrial	freshwater
3rd sampling, Punggol reservoir v45	terrestrial	freshwater
4th sampling, Punggol reservoir v45	terrestrial	freshwater
5th sampling, Punggol reservoir v45	terrestrial	freshwater
6th sampling, Punggol reservoir v45	terrestrial	freshwater
7th sampling, Punggol reservoir v45	terrestrial	freshwater
8th sampling, Punggol reservoir v45	terrestrial	freshwater
1st sampling, Punggol reservoir v68	terrestrial	freshwater
2nd sampling, Punggol reservoir v68	terrestrial	freshwater
3rd sampling, Punggol reservoir v68	terrestrial	freshwater
4th sampling, Punggol reservoir v68	terrestrial	freshwater
5th sampling, Punggol reservoir v68	terrestrial	freshwater
6th sampling, Punggol reservoir v68	terrestrial	freshwater
7th sampling, Punggol reservoir v68	terrestrial	freshwater
8th sampling, Punggol reservoir v68	terrestrial	freshwater
1st sampling, Serangoon reservoir v13	terrestrial	freshwater
2nd sampling, Serangoon reservoir v13	terrestrial	freshwater
3rd sampling, Serangoon reservoir v13	terrestrial	freshwater
4th sampling, Serangoon reservoir v13	terrestrial	freshwater
5th sampling, Serangoon reservoir v13	terrestrial	freshwater
6th sampling, Serangoon reservoir v13	terrestrial	freshwater
7th sampling, Serangoon reservoir v13	terrestrial	freshwater
8th sampling, Serangoon reservoir v13	terrestrial	freshwater
1st sampling, Serangoon reservoir v45	terrestrial	freshwater
2nd sampling, Serangoon reservoir v45	terrestrial	freshwater
3rd sampling, Serangoon reservoir v45	terrestrial	freshwater
4th sampling, Serangoon reservoir v45	terrestrial	freshwater
5th sampling, Serangoon reservoir v45	terrestrial	freshwater
6th sampling, Serangoon reservoir v45	terrestrial	freshwater
7th sampling, Serangoon reservoir v45	terrestrial	freshwater
8th sampling, Serangoon reservoir v45	terrestrial	freshwater
1st sampling, Serangoon reservoir v68	terrestrial	freshwater
2nd sampling, Serangoon reservoir v68	terrestrial	freshwater
3rd sampling, Serangoon reservoir v68	terrestrial	freshwater
4th sampling, Serangoon reservoir v68	terrestrial	freshwater
5th sampling, Serangoon reservoir v68	terrestrial	freshwater
6th sampling, Serangoon reservoir v68	terrestrial	freshwater
7th sampling, Serangoon reservoir v68	terrestrial	freshwater
8th sampling, Serangoon reservoir v68	terrestrial	freshwater
aquaculture system	unclassified	unclassified
control fungal sample	unclassified	unclassified
caecum-AH+L+ cohortB	unclassified	unclassified
caecum-AH+L+ cohortC	unclassified	unclassified
caecum-AH+L+ cohortBP	unclassified	unclassified
delta	unclassified	unclassified
ENVO_01000280	unclassified	unclassified
bentonic organism	unclassified	unclassified
Alpine steppe	terrestrial	land
Desert steppe	terrestrial	land
ectoparasite	unclassified	unclassified
boulder	unclassified	unclassified
area of developed space with low usage intensity	terrestrial	land
cockroach gut	unclassified	unclassified
Municipal Wastewater Treatment Plant	terrestrial_probable	other_terrestrial_water
Landscape Spray Irrigation Site	terrestrial_probable	unclassified
mixed assemblage of unculture bacteria and cyanobacteria	unclassified	unclassified
Montane forests	terrestrial	land
Cultivated cotton land	terrestrial	unclassified
Suburb	unclassified	unclassified
marine brine pool	marine_and_terrestrial	unclassified
groundwater aquifer	terrestrial	other_terrestrial_water
flatland for the first	terrestrial_probable	land
flatland for the second	terrestrial_probable	land
flatland for the third	terrestrial_probable	land
plastic surface	unclassified	unclassified
intertidal region	marine_and_terrestrial	unclassified
Greenhouse microclimate room	terrestrial	unclassified
Human_gut	terrestrial_probable	unclassified
Herbaceous Wetland	terrestrial	other_terrestrial_water
Wooded Wetland	terrestrial	other_terrestrial_water
Scrubland	terrestrial_probable	land
Deciduous forest	terrestrial	land
river ecosystem	terrestrial	freshwater
Brazilian Cerrado Forest	terrestrial	unclassified
artificial channel	unclassified	unclassified
grape	unclassified	unclassified
water and sediment in basin experimen	unclassified	other_terrestrial_water
water and sediment in basin experiment	unclassified	other_terrestrial_water
ENVO:00000032	unclassified	unclassified
ENVO:00002197	unclassified	unclassified
ENVO:00000054	unclassified	unclassified
ENVO:00000317	unclassified	unclassified
ENVO:00000485	unclassified	unclassified
ENVO:00000396	unclassified	unclassified
ENVO:01000008	unclassified	unclassified
ENVO:00000040	unclassified	unclassified
medium	unclassified	unclassified
moist soil biome	terrestrial_probable	land
marine-water	marine	other_terrestrial_water
bone element environment	unclassified	unclassified
natural water and sediment	unclassified	other_terrestrial_water
administrative region	unclassified	unclassified
Coast wetland	marine_and_terrestrial	other_terrestrial_water
bark	unclassified	unclassified
Atlantic infectious	unclassified	unclassified
Atlantic non infectious	unclassified	unclassified
Controlled	unclassified	unclassified
Mediterranean infectious	unclassified	unclassified
Mediterranean non infectious	unclassified	unclassified
